index,Remaining BOF capacity,Remaining BOF capacity (2 relinings),Total BOF capacity additions,Total retired BOF capacity,Total BOF capacity additions (no retirement date),Total retired BOF capacity (no retirement date),Total retired BOF capacity (custom calculated retirement date),"Additional net BOF capacity (operating, 1 relining)","Additional net BOF capacity (operating, 2 relining)",5year BOF capacity additions,"5year BOF capacity additions (new, under construction)",Total BOF capacity additions (new projects),"Total net BOF capacity additions (new projects, announced only)",Total retired BOF capacity (new projects),"Total retired BOF capacity (new projects, 1 relining)","Total retired BOF capacity (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining, announced only)","Total net BOF capacity additions (new projects, 1 relining)","Total net BOF capacity additions (new projects, 1 relining, announced only)",Yearly BOF Capacity additions,Region
2053,10397.435897435435,745891.21821228,1657933.8754123065,1647536.4395148705,427910.12458769395,427910.1245876938,1092985.7790118693,231286.57238346298,431624.6541097165,0.0,0.0,324664.0,10397.435897435935,314266.5641025641,1964.7035175879396,0.0,324664.0,246390.1904761905,322699.2964824121,244425.48695860256,0.0,global
2054,10397.435897435435,723969.7225923354,1657933.8754123065,1647536.4395148705,427910.12458769395,427910.1245876938,1092985.7790118693,203616.66340975492,409703.1584897718,0.0,0.0,324664.0,10397.435897435935,314266.5641025641,18863.70351758794,0.0,324664.0,246390.1904761905,305800.2964824121,232675.48695860256,0.0,global
2055,2499.999999999537,704137.3684361954,1657933.8754123065,1655433.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,168652.87258726318,381973.36843619595,0.0,0.0,324664.0,2500.000000000029,322164.0,25463.70351758794,0.0,324664.0,246390.1904761905,299200.2964824121,231075.48695860256,0.0,global
2056,-4.6293280320242047e-10,685475.8776488386,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,126170.52835202159,360811.877648839,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,37465.34866226802,0.0,324664.0,246390.1904761905,287198.651337732,220473.84181392248,0.0,global
2057,-4.6293280320242047e-10,654934.8763307002,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,67656.79974416952,330270.87633070076,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,52174.68199560136,0.0,324664.0,246390.1904761905,272489.31800439866,214647.17514725582,0.0,global
2058,-4.6293280320242047e-10,623257.371211405,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,33288.9349934691,298593.3712114055,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,68899.52790420922,0.0,324664.0,246390.1904761905,255764.47209579078,204537.17514725582,0.0,global
2059,-4.6293280320242047e-10,605309.0110832155,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,0.0,280645.011083216,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,81104.68199560135,0.0,324664.0,246390.1904761905,243559.31800439866,198387.17514725582,0.0,global
2060,-4.6293280320242047e-10,598923.3334437077,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,0.0,274259.33344370814,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,123735.64432825395,0.0,324664.0,246390.1904761905,200928.35567174605,176141.2128146032,0.0,global
2061,-4.6293280320242047e-10,576784.9662134601,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,0.0,252120.96621346055,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,164896.05034329154,0.0,324664.0,246390.1904761905,159767.94965670846,158267.94965670846,0.0,global
2062,-4.6293280320242047e-10,566734.9662134601,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,0.0,243670.96621346055,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,186696.05034329154,1600.0,323064.0,244790.1904761905,137967.94965670846,137967.94965670846,0.0,global
2063,-4.6293280320242047e-10,553985.8688658746,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,0.0,231286.57238346292,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,204246.05034329154,1964.7035175879396,322699.2964824121,244425.48695860256,120417.94965670846,120417.94965670847,0.0,global
2064,-4.6293280320242047e-10,509416.95989216643,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,0.0,203616.66340975487,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,225668.74697250503,18863.70351758794,305800.2964824121,232675.48695860256,98995.25302749497,98995.253027495,0.0,global
2065,-4.6293280320242047e-10,467853.1690696747,1657933.8754123065,1657933.8754123065,427910.12458769395,427910.1245876938,1092985.7790118693,0.0,168652.87258726312,0.0,0.0,324664.0,2.9103830456733704e-11,324664.0,268609.2607317776,25463.70351758794,299200.2964824121,231075.48695860256,56054.739268222416,56054.739268222445,0.0,global
